Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697615443.218445,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615444.2244,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615445.224351,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615446.224307,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615447.227745,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615448.222487,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615449.218597,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615450.227135,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615451.223403,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615452.223709,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615453.219047,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615454.228893,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
fix,gps,1697615455.223069,nan,nan,nan,STATUS_NO_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[9998.0001 ,0.0 ,0.0], [0.0 ,9998.0001 ,0.0], [0.0 ,0.0 ,39992.0004]]"
