NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,1405,gps,1697617229.04565,GN,GGA,082029.00,3446.45956,N,13530.71754,E,1,07,3.16,46.0,M,34.1,M,,
GGA,1423,gps,1697617230.050071,GN,GGA,082030.00,3446.45970,N,13530.71805,E,1,07,3.16,45.4,M,34.1,M,,
GGA,1441,gps,1697617231.045124,GN,GGA,082031.00,3446.45984,N,13530.71855,E,1,07,3.16,44.8,M,34.1,M,,
GGA,1459,gps,1697617232.052108,GN,GGA,082032.00,3446.45996,N,13530.71908,E,1,07,3.16,44.3,M,34.1,M,,
GGA,1477,gps,1697617233.045341,GN,GGA,082033.00,3446.46020,N,13530.71948,E,1,07,3.16,43.9,M,34.1,M,,
GGA,1496,gps,1697617234.046097,GN,GGA,082034.00,3446.46045,N,13530.71988,E,1,07,3.16,43.5,M,34.1,M,,
GGA,1514,gps,1697617235.039228,GN,GGA,082035.00,3446.46073,N,13530.72024,E,1,07,3.16,43.1,M,34.1,M,,
GGA,1532,gps,1697617236.05103,GN,GGA,082036.00,3446.46101,N,13530.72061,E,1,07,3.16,42.9,M,34.1,M,,
GGA,1550,gps,1697617237.042188,GN,GGA,082037.00,3446.46126,N,13530.72101,E,1,07,3.16,42.6,M,34.1,M,,
GGA,1569,gps,1697617238.054795,GN,GGA,082038.00,3446.46151,N,13530.72140,E,1,07,3.16,42.2,M,34.1,M,,
GGA,1587,gps,1697617239.04557,GN,GGA,082039.00,3446.46166,N,13530.72174,E,1,07,3.16,42.0,M,34.1,M,,
GGA,1606,gps,1697617240.04843,GN,GGA,082040.00,3446.46171,N,13530.72174,E,1,08,3.15,41.8,M,34.1,M,,
GGA,1625,gps,1697617241.044643,GN,GGA,082041.00,3446.46165,N,13530.72176,E,1,08,3.15,41.5,M,34.1,M,,
GGA,1644,gps,1697617242.044591,GN,GGA,082042.00,3446.46134,N,13530.72164,E,2,08,3.75,42.1,M,34.1,M,2.0,2836
