NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,1539,gps,1697615535.214412,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1551,gps,1697615536.220182,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1563,gps,1697615537.214355,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1575,gps,1697615538.213828,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1587,gps,1697615539.22063,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1599,gps,1697615540.219782,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1611,gps,1697615541.214675,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1623,gps,1697615542.224921,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1635,gps,1697615543.214694,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1647,gps,1697615544.214555,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1659,gps,1697615545.222753,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1671,gps,1697615546.225126,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,1683,gps,1697615547.106496,GN,GGA,075227.00,,,,,0,00,99.99,,,,,,
GGA,1695,gps,1697615548.103028,GN,GGA,075228.00,,,,,0,00,99.99,,,,,,
GGA,1707,gps,1697615549.10423,GN,GGA,075229.00,,,,,0,00,99.99,,,,,,
GGA,1719,gps,1697615550.107844,GN,GGA,075230.00,,,,,0,00,99.99,,,,,,
GGA,1731,gps,1697615551.110886,GN,GGA,075231.00,,,,,0,00,99.99,,,,,,
GGA,1743,gps,1697615552.103062,GN,GGA,075232.00,,,,,0,00,99.99,,,,,,
GGA,1755,gps,1697615553.110175,GN,GGA,075233.00,,,,,0,00,99.99,,,,,,
GGA,1767,gps,1697615554.108277,GN,GGA,075234.00,,,,,0,00,99.99,,,,,,
GGA,1779,gps,1697615555.104424,GN,GGA,075235.00,,,,,0,00,99.99,,,,,,
GGA,1791,gps,1697615556.104798,GN,GGA,075236.00,,,,,0,00,99.99,,,,,,
GGA,1803,gps,1697615557.10893,GN,GGA,075237.00,,,,,0,00,99.99,,,,,,
GGA,1815,gps,1697615558.105969,GN,GGA,075238.00,,,,,0,00,99.99,,,,,,
GGA,1827,gps,1697615559.114321,GN,GGA,075239.00,,,,,0,00,99.99,,,,,,
GGA,1839,gps,1697615560.099812,GN,GGA,075240.00,,,,,0,00,99.99,,,,,,
GGA,1851,gps,1697615561.104256,GN,GGA,075241.00,,,,,0,00,99.99,,,,,,
GGA,1863,gps,1697615562.10609,GN,GGA,075242.00,,,,,0,00,99.99,,,,,,
GGA,1875,gps,1697615563.117866,GN,GGA,075243.00,,,,,0,00,99.99,,,,,,
GGA,1887,gps,1697615564.105168,GN,GGA,075244.00,,,,,0,00,99.99,,,,,,
GGA,1899,gps,1697615565.109094,GN,GGA,075245.00,,,,,0,00,99.99,,,,,,
GGA,1911,gps,1697615566.12361,GN,GGA,075246.00,,,,,0,00,99.99,,,,,,
GGA,1923,gps,1697615567.097775,GN,GGA,075247.00,,,,,0,00,99.99,,,,,,
GGA,1935,gps,1697615568.114232,GN,GGA,075248.00,,,,,0,00,99.99,,,,,,
GGA,1947,gps,1697615569.119938,GN,GGA,075249.00,,,,,0,00,99.99,,,,,,
GGA,1959,gps,1697615570.09611,GN,GGA,075250.00,,,,,0,00,99.99,,,,,,
GGA,1971,gps,1697615571.114342,GN,GGA,075251.00,,,,,0,00,99.99,,,,,,
GGA,1983,gps,1697615572.113377,GN,GGA,075252.00,,,,,0,00,99.99,,,,,,
GGA,1995,gps,1697615573.102518,GN,GGA,075253.00,,,,,0,00,99.99,,,,,,
GGA,2007,gps,1697615574.044597,GN,GGA,075254.00,,,,,0,00,99.99,,,,,,
GGA,2019,gps,1697615575.116518,GN,GGA,075255.00,,,,,0,00,99.99,,,,,,
GGA,2031,gps,1697615576.097945,GN,GGA,075256.00,,,,,0,00,99.99,,,,,,
GGA,2043,gps,1697615577.111934,GN,GGA,075257.00,,,,,0,00,99.99,,,,,,
GGA,2055,gps,1697615578.120802,GN,GGA,075258.00,,,,,0,00,99.99,,,,,,
GGA,2067,gps,1697615579.10435,GN,GGA,075259.00,,,,,0,00,99.99,,,,,,
GGA,2079,gps,1697615580.121068,GN,GGA,075300.00,,,,,0,00,99.99,,,,,,
GGA,2091,gps,1697615581.116827,GN,GGA,075301.00,,,,,0,00,99.99,,,,,,
GGA,2103,gps,1697615582.104313,GN,GGA,075302.00,,,,,0,00,99.99,,,,,,
GGA,2115,gps,1697615583.11868,GN,GGA,075303.00,,,,,0,00,99.99,,,,,,
GGA,2127,gps,1697615584.119677,GN,GGA,075304.00,,,,,0,00,99.99,,,,,,
GGA,2139,gps,1697615585.098408,GN,GGA,075305.00,,,,,0,00,99.99,,,,,,
GGA,2151,gps,1697615586.11302,GN,GGA,075306.00,,,,,0,00,99.99,,,,,,
GGA,2163,gps,1697615587.115536,GN,GGA,075307.00,,,,,0,00,99.99,,,,,,
GGA,2175,gps,1697615588.105631,GN,GGA,075308.00,,,,,0,00,99.99,,,,,,
GGA,2187,gps,1697615589.114655,GN,GGA,075309.00,,,,,0,00,99.99,,,,,,
GGA,2199,gps,1697615590.114889,GN,GGA,075310.00,,,,,0,00,99.99,,,,,,
GGA,2211,gps,1697615591.102068,GN,GGA,075311.00,,,,,0,00,99.99,,,,,,
GGA,2223,gps,1697615592.106782,GN,GGA,075312.00,,,,,0,00,99.99,,,,,,
GGA,2235,gps,1697615593.112441,GN,GGA,075313.00,,,,,0,00,99.99,,,,,,
GGA,2247,gps,1697615594.096789,GN,GGA,075314.00,,,,,0,00,99.99,,,,,,
GGA,2259,gps,1697615595.110115,GN,GGA,075315.00,,,,,0,00,99.99,,,,,,
GGA,2271,gps,1697615596.110609,GN,GGA,075316.00,,,,,0,00,99.99,,,,,,
GGA,2283,gps,1697615597.098199,GN,GGA,075317.00,,,,,0,00,99.99,,,,,,
GGA,2295,gps,1697615598.115066,GN,GGA,075318.00,,,,,0,00,99.99,,,,,,
GGA,2307,gps,1697615599.112084,GN,GGA,075319.00,,,,,0,00,99.99,,,,,,
GGA,2319,gps,1697615600.098982,GN,GGA,075320.00,,,,,0,00,99.99,,,,,,
GGA,2331,gps,1697615601.108187,GN,GGA,075321.00,,,,,0,00,99.99,,,,,,
GGA,2343,gps,1697615602.121954,GN,GGA,075322.00,,,,,0,00,99.99,,,,,,
GGA,2355,gps,1697615603.09929,GN,GGA,075323.00,,,,,0,00,99.99,,,,,,
GGA,2367,gps,1697615604.107242,GN,GGA,075324.00,,,,,0,00,99.99,,,,,,
GGA,2379,gps,1697615605.116033,GN,GGA,075325.00,,,,,0,00,99.99,,,,,,
GGA,2391,gps,1697615606.098757,GN,GGA,075326.00,,,,,0,00,99.99,,,,,,
GGA,2403,gps,1697615607.108194,GN,GGA,075327.00,,,,,0,00,99.99,,,,,,
GGA,2415,gps,1697615608.121328,GN,GGA,075328.00,,,,,0,00,99.99,,,,,,
GGA,2427,gps,1697615609.098661,GN,GGA,075329.00,,,,,0,00,99.99,,,,,,
GGA,2439,gps,1697615610.111963,GN,GGA,075330.00,,,,,0,00,99.99,,,,,,
GGA,2451,gps,1697615611.124609,GN,GGA,075331.00,,,,,0,00,99.99,,,,,,
GGA,2463,gps,1697615612.109867,GN,GGA,075332.00,,,,,0,00,99.99,,,,,,
GGA,2475,gps,1697615613.112117,GN,GGA,075333.00,,,,,0,00,99.99,,,,,,
GGA,2487,gps,1697615614.1228,GN,GGA,075334.00,,,,,0,00,99.99,,,,,,
GGA,2499,gps,1697615615.098541,GN,GGA,075335.00,,,,,0,00,99.99,,,,,,
GGA,2511,gps,1697615616.112027,GN,GGA,075336.00,,,,,0,00,99.99,,,,,,
GGA,2523,gps,1697615617.129241,GN,GGA,075337.00,,,,,0,00,99.99,,,,,,
GGA,2535,gps,1697615618.103253,GN,GGA,075338.00,,,,,0,00,99.99,,,,,,
GGA,2547,gps,1697615619.115536,GN,GGA,075339.00,,,,,0,00,99.99,,,,,,
GGA,2559,gps,1697615620.122399,GN,GGA,075340.00,,,,,0,00,99.99,,,,,,
GGA,2571,gps,1697615621.107439,GN,GGA,075341.00,,,,,0,00,99.99,,,,,,
GGA,2583,gps,1697615622.115844,GN,GGA,075342.00,,,,,0,00,99.99,,,,,,
