Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697617191.041233,34.77427133333333,135.51174183333333,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617192.041502,34.774271166666665,135.51174216666666,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617193.044155,34.774271166666665,135.51174216666666,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617194.048328,34.7742715,135.51174216666666,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617195.049218,34.7742715,135.5117425,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617196.040255,34.7742715,135.51174266666666,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617197.045838,34.774271166666665,135.511743,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617198.046288,34.774271,135.5117435,90.4,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617199.046412,34.77427083333333,135.51174383333333,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617200.040492,34.77427083333333,135.511744,90.2,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617201.046728,34.774271,135.511744,90.2,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617202.044955,34.774272,135.511746,90.2,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617203.039305,34.77427383333333,135.5117505,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617204.04635,34.77427566666667,135.51175766666665,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617205.039081,34.774278,135.51176516666666,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
fix,gps,1697617206.043345,34.77428066666667,135.51177283333334,90.30000000000001,STATUS_FIX,,COVARIANCE_TYPE_APPROXIMATED,"[[13.6161 ,0.0 ,0.0], [0.0 ,13.6161 ,0.0], [0.0 ,0.0 ,54.4644]]"
